timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650009667369,846,Contact-424,200,OK,Contacts 5-1,text,true,,5224,536,1,5,https://www.demoblaze.com/index.html,843,0,784
1650009667242,846,Contact,200,"Number of samples in transaction : 1, number of failing samples : 0",Contacts 5-1,,true,,5224,536,1,5,null,843,128,784
1650009668235,151,Contact-424,200,OK,Contacts 5-2,text,true,,4975,536,1,9,https://www.demoblaze.com/index.html,149,0,102
1650009668233,151,Contact,200,"Number of samples in transaction : 1, number of failing samples : 0",Contacts 5-2,,true,,4975,536,1,9,null,149,3,102
1650009667369,1036,Login-38,200,OK,AddToCart 4-1,text,true,,449,477,2,8,https://api.demoblaze.com/login,1036,0,784
1650009667369,1038,login,200,OK,InvalidLogin 3-1,text,true,,449,477,2,8,https://api.demoblaze.com/login,1038,0,784
1650009667369,1041,signup,200,OK,Signup  1-1,text,true,,449,478,2,8,https://api.demoblaze.com/signup,1041,0,784
1650009667369,1043,login,200,OK,Login 2-1,text,true,,449,477,2,8,https://api.demoblaze.com/login,1043,0,784
1650009668229,356,login,200,OK,InvalidLogin 3-2,text,true,,449,477,2,8,https://api.demoblaze.com/login,356,0,106
1650009668228,358,login,200,OK,Login 2-2,text,true,,449,477,2,8,https://api.demoblaze.com/login,358,0,104
1650009668227,360,signup,200,OK,Signup  1-2,text,true,,449,478,2,8,https://api.demoblaze.com/signup,360,0,109
1650009668235,361,Login-38,200,OK,AddToCart 4-2,text,true,,449,477,2,8,https://api.demoblaze.com/login,361,0,101
1650009668407,269,login-ren,200,OK,InvalidLogin 3-1,text,true,,564,482,2,8,https://api.demoblaze.com/login,268,0,0
1650009668411,271,signup - rick127,200,OK,Signup  1-1,text,false,"Test failed: text expected to contain /""""/",686,488,2,7,https://api.demoblaze.com/signup,266,0,0
